dataset,noShift,shifted
cnn,0.8270974614515395,0.8187076307864765
color,0.6504661085431354,0.646864413365848
deblur,0.6085699221703335,0.6082839050882701
frameinterp,0.6215042430134017,0.6105932258385218
superres,0.7105287457517758,0.7069731083772006
traditional,0.769364410986082,0.7728813602825848
